nohup: ignoring input
Command Line Args: Namespace(config_file='configs/PascalVOC-detection/split1/faster_rcnn_R_101_FPN_ETF_distill1_10shot.yaml', dist_url='tcp://127.0.0.1:49152', end_iter=-1, eval_all=False, eval_during_train=False, eval_iter=-1, eval_only=False, machine_rank=0, num_gpus=2, num_machines=1, opts=None, resume=False, start_iter=-1)
Logging modification for finetuning
[11/15 16:34:29 detectron2]: Rank of current process: 0. World size: 2
[11/15 16:34:29 detectron2]: Command line arguments: Namespace(config_file='configs/PascalVOC-detection/split1/faster_rcnn_R_101_FPN_ETF_distill1_10shot.yaml', dist_url='tcp://127.0.0.1:49152', end_iter=-1, eval_all=False, eval_during_train=False, eval_iter=-1, eval_only=False, machine_rank=0, num_gpus=2, num_machines=1, opts=None, resume=False, start_iter=-1)
[11/15 16:34:29 detectron2]: Contents of args.config_file=configs/PascalVOC-detection/split1/faster_rcnn_R_101_FPN_ETF_distill1_10shot.yaml:
_BASE_: "faster_rcnn_R_101_FPN_ETF_pre1_10shot.yaml"


MODEL:
  META_ARCHITECTURE: "ContrastiveGeneralizedRCNN"  # 使用我们新定义的对比学习架构
  TEACHER_WEIGHT: "checkpoints/voc/prior/ETFRes_pre1_10shot_lr20_adj7.0_rfs1.0_t1/model_final.pth"
  
  BACKBONE:
    FREEZE_AT: 3
  PROPOSAL_GENERATOR:
    FREEZE: True
  ROI_HEADS:
    NAME: "DistillMarginROIHeads"
  USE_CONTRASTIVE: True  # 启用对比学习
  CONTRASTIVE_WEIGHT: 0.001  # 对比损失的权重
  IS_DISTILL: True
LOSS:
  ADJUST_STAGE: 'distill'
SOLVER:
  BASE_LR: 0.01
# Using 0.04 is slightly better than 0.02
OUTPUT_DIR: "checkpoints/voc/distill/contrastive/"
TRAIN:
  CACHE_UPDATE_INTERVAL: 1000



[11/15 16:34:29 detectron2]: Full config saved to /root/FSOD/checkpoints/voc/distill/ETFRes_distill1_10shot_lr10_/config.yaml
preset seed 0
[11/15 16:34:30 fsdet.modeling.roi_heads.fast_rcnn]: ETF Residusl True
[11/15 16:34:30 fsdet.modeling.roi_heads.fast_rcnn]: ETF Residusl True
froze proposal generator parameters
Logging names for 5 novel classes:  ['bird', 'bus', 'cow', 'motorbike', 'sofa']
[11/15 16:34:32 d2.data.build]: Removed 1920 images with no usable annotations. 14681 images left.
[11/15 16:34:32 d2.data.build]: Distribution of instances among all 20 categories:
|  category  | #instances   |  category   | #instances   |  category   | #instances   |
|:----------:|:-------------|:-----------:|:-------------|:-----------:|:-------------|
| aeroplane  | 1285         |   bicycle   | 1208         |    boat     | 1397         |
|   bottle   | 2116         |     car     | 4008         |     cat     | 1616         |
|   chair    | 4338         | diningtable | 1057         |     dog     | 2079         |
|   horse    | 1156         |   person    | 15576        | pottedplant | 1724         |
|   sheep    | 1347         |    train    | 984          |  tvmonitor  | 1193         |
|    bird    | 10           |     bus     | 10           |     cow     | 10           |
| motorbike  | 10           |    sofa     | 10           |             |              |
|   total    | 41134        |             |              |             |              |
[11/15 16:34:32 d2.data.dataset_mapper]: [DatasetMapper] Augmentations used in training: [ResizeShortestEdge(short_edge_length=(480, 512, 544, 576, 608, 640, 672, 704, 736, 768, 800), max_size=1333, sample_style='choice'), RandomFlip()]
[11/15 16:34:32 d2.data.build]: Using training sampler RepeatFactorTrainingSampler
[11/15 16:34:33 d2.data.common]: Serializing 14681 elements to byte tensors and concatenating them all ...
[11/15 16:34:33 d2.data.common]: Serialized dataset takes 6.67 MiB
WARNING [11/15 16:34:33 d2.solver.build]: SOLVER.STEPS contains values larger than SOLVER.MAX_ITER. These values will be ignored.
[11/15 16:34:33 fvcore.common.checkpoint]: [Checkpointer] Loading from checkpoints/voc/prior/ETFRes_pre1_10shot_lr20_adj7.0_rfs1.0_t1/model_clean_student.pth ...
Logging modification for finetuning
preset seed 0
froze proposal generator parameters
Logging names for 5 novel classes:  ['bird', 'bus', 'cow', 'motorbike', 'sofa']
WARNING [11/15 16:34:33 fvcore.common.checkpoint]: Some model parameters or buffers are not found in the checkpoint:
roi_heads.student_box_head.fc1.{bias, weight}
roi_heads.student_box_head.fc2.{bias, weight}
roi_heads.student_box_predictor.bbox_pred.{bias, weight}
roi_heads.student_box_predictor.cls_score.weight
roi_heads.student_box_predictor.mapping.weight
[11/15 16:34:33 d2.engine.train_loop]: Starting training from iteration 1
[W reducer.cpp:1158] Warning: find_unused_parameters=True was specified in DDP constructor, but did not find any unused parameters in the forward pass. This flag results in an extra traversal of the autograd graph every iteration,  which can adversely affect performance. If your model indeed never has any unused parameters in the forward pass, consider turning this flag off. Note that this warning may be a false positive if your model has flow control causing later iterations to have unused parameters. (function operator())
[W reducer.cpp:1158] Warning: find_unused_parameters=True was specified in DDP constructor, but did not find any unused parameters in the forward pass. This flag results in an extra traversal of the autograd graph every iteration,  which can adversely affect performance. If your model indeed never has any unused parameters in the forward pass, consider turning this flag off. Note that this warning may be a false positive if your model has flow control causing later iterations to have unused parameters. (function operator())
[11/15 16:35:08 d2.utils.events]:  eta: 2:59:53  iter: 19  total_loss: 2.846  loss_cls: 1.059  loss_box_reg: 0.3567  loss_rpn_cls: 0.01109  loss_rpn_loc: 0.01955  contrastive_loss: 1.547  time: 0.7408  data_time: 0.3810  lr: 0.0009091  max_mem: 12879M
[11/15 16:39:48 d2.utils.events]:  eta: 3:06:50  iter: 379  total_loss: 0.3174  loss_cls: 0.07791  loss_box_reg: 0.1793  loss_rpn_cls: 0.009281  loss_rpn_loc: 0.01753  contrastive_loss: 0.03229  time: 0.7760  data_time: 0.0405  lr: 0.01  max_mem: 12882M
[11/15 16:40:04 d2.utils.events]:  eta: 3:07:01  iter: 399  total_loss: 0.3028  loss_cls: 0.07794  loss_box_reg: 0.1735  loss_rpn_cls: 0.00877  loss_rpn_loc: 0.01475  contrastive_loss: 0.02543  time: 0.7763  data_time: 0.0365  lr: 0.01  max_mem: 12882M
[11/15 16:40:19 d2.utils.events]:  eta: 3:06:46  iter: 419  total_loss: 0.2901  loss_cls: 0.07139  loss_box_reg: 0.1684  loss_rpn_cls: 0.006713  loss_rpn_loc: 0.01408  contrastive_loss: 0.02358  time: 0.7771  data_time: 0.0379  lr: 0.01  max_mem: 12882M
[11/15 16:40:35 d2.utils.events]:  eta: 3:06:19  iter: 439  total_loss: 0.3372  loss_cls: 0.07013  loss_box_reg: 0.1808  loss_rpn_cls: 0.009752  loss_rpn_loc: 0.01522  contrastive_loss: 0.05431  time: 0.7775  data_time: 0.0401  lr: 0.01  max_mem: 12882M
[11/15 16:40:51 d2.utils.events]:  eta: 3:05:49  iter: 459  total_loss: 0.3683  loss_cls: 0.08276  loss_box_reg: 0.2025  loss_rpn_cls: 0.009791  loss_rpn_loc: 0.0207  contrastive_loss: 0.0591  time: 0.7776  data_time: 0.0373  lr: 0.01  max_mem: 12882M
[11/15 16:41:08 d2.utils.events]:  eta: 3:05:38  iter: 479  total_loss: 0.2975  loss_cls: 0.06478  loss_box_reg: 0.1654  loss_rpn_cls: 0.008147  loss_rpn_loc: 0.01677  contrastive_loss: 0.03988  time: 0.7805  data_time: 0.0375  lr: 0.01  max_mem: 12882M
[11/15 16:41:23 d2.utils.events]:  eta: 3:05:02  iter: 499  total_loss: 0.3556  loss_cls: 0.08197  loss_box_reg: 0.1904  loss_rpn_cls: 0.008574  loss_rpn_loc: 0.01644  contrastive_loss: 0.03511  time: 0.7793  data_time: 0.0393  lr: 0.01  max_mem: 12882M
[11/15 16:41:38 d2.utils.events]:  eta: 3:04:56  iter: 519  total_loss: 0.3702  loss_cls: 0.07996  loss_box_reg: 0.2085  loss_rpn_cls: 0.009276  loss_rpn_loc: 0.01772  contrastive_loss: 0.03428  time: 0.7792  data_time: 0.0422  lr: 0.01  max_mem: 12882M
[11/15 16:41:54 d2.utils.events]:  eta: 3:04:57  iter: 539  total_loss: 0.3051  loss_cls: 0.07621  loss_box_reg: 0.1773  loss_rpn_cls: 0.009222  loss_rpn_loc: 0.01735  contrastive_loss: 0.02808  time: 0.7794  data_time: 0.0382  lr: 0.01  max_mem: 12882M
[11/15 16:42:10 d2.utils.events]:  eta: 3:04:42  iter: 559  total_loss: 0.3161  loss_cls: 0.07686  loss_box_reg: 0.1927  loss_rpn_cls: 0.009717  loss_rpn_loc: 0.01806  contrastive_loss: 0.02367  time: 0.7793  data_time: 0.0373  lr: 0.01  max_mem: 12882M
[11/15 16:42:25 d2.utils.events]:  eta: 3:04:25  iter: 579  total_loss: 0.3146  loss_cls: 0.07178  loss_box_reg: 0.1852  loss_rpn_cls: 0.007421  loss_rpn_loc: 0.01596  contrastive_loss: 0.02091  time: 0.7791  data_time: 0.0390  lr: 0.01  max_mem: 12882M
[11/15 16:42:41 d2.utils.events]:  eta: 3:04:17  iter: 599  total_loss: 0.3  loss_cls: 0.07031  loss_box_reg: 0.167  loss_rpn_cls: 0.008916  loss_rpn_loc: 0.01638  contrastive_loss: 0.02183  time: 0.7793  data_time: 0.0425  lr: 0.01  max_mem: 12882M
[11/15 16:42:56 d2.utils.events]:  eta: 3:03:56  iter: 619  total_loss: 0.2835  loss_cls: 0.06959  loss_box_reg: 0.1634  loss_rpn_cls: 0.008874  loss_rpn_loc: 0.01771  contrastive_loss: 0.02172  time: 0.7789  data_time: 0.0367  lr: 0.01  max_mem: 12882M
[11/15 16:43:11 d2.utils.events]:  eta: 3:03:46  iter: 639  total_loss: 0.3108  loss_cls: 0.07392  loss_box_reg: 0.1886  loss_rpn_cls: 0.01058  loss_rpn_loc: 0.01704  contrastive_loss: 0.02314  time: 0.7784  data_time: 0.0400  lr: 0.01  max_mem: 12882M
[11/15 16:43:27 d2.utils.events]:  eta: 3:03:32  iter: 659  total_loss: 0.3196  loss_cls: 0.0808  loss_box_reg: 0.1778  loss_rpn_cls: 0.008962  loss_rpn_loc: 0.01452  contrastive_loss: 0.02238  time: 0.7786  data_time: 0.0414  lr: 0.01  max_mem: 12882M
[11/15 16:43:44 d2.utils.events]:  eta: 3:03:31  iter: 679  total_loss: 0.3185  loss_cls: 0.07993  loss_box_reg: 0.1772  loss_rpn_cls: 0.008576  loss_rpn_loc: 0.01938  contrastive_loss: 0.02276  time: 0.7804  data_time: 0.0395  lr: 0.01  max_mem: 12882M
[11/15 16:43:59 d2.utils.events]:  eta: 3:03:16  iter: 699  total_loss: 0.3244  loss_cls: 0.07797  loss_box_reg: 0.1917  loss_rpn_cls: 0.009138  loss_rpn_loc: 0.01726  contrastive_loss: 0.01773  time: 0.7801  data_time: 0.0350  lr: 0.01  max_mem: 12882M
[11/15 16:44:16 d2.utils.events]:  eta: 3:03:02  iter: 719  total_loss: 0.3073  loss_cls: 0.07278  loss_box_reg: 0.1903  loss_rpn_cls: 0.006981  loss_rpn_loc: 0.01877  contrastive_loss: 0.01886  time: 0.7810  data_time: 0.0406  lr: 0.01  max_mem: 12882M
[11/15 16:44:32 d2.utils.events]:  eta: 3:02:47  iter: 739  total_loss: 0.2616  loss_cls: 0.06309  loss_box_reg: 0.1539  loss_rpn_cls: 0.008056  loss_rpn_loc: 0.01511  contrastive_loss: 0.01811  time: 0.7821  data_time: 0.0413  lr: 0.01  max_mem: 12882M
[11/15 16:44:47 d2.utils.events]:  eta: 3:02:32  iter: 759  total_loss: 0.2683  loss_cls: 0.06786  loss_box_reg: 0.1569  loss_rpn_cls: 0.007974  loss_rpn_loc: 0.01613  contrastive_loss: 0.01793  time: 0.7817  data_time: 0.0382  lr: 0.01  max_mem: 12882M
[11/15 16:45:03 d2.utils.events]:  eta: 3:02:16  iter: 779  total_loss: 0.2759  loss_cls: 0.06953  loss_box_reg: 0.166  loss_rpn_cls: 0.00825  loss_rpn_loc: 0.01497  contrastive_loss: 0.01627  time: 0.7812  data_time: 0.0344  lr: 0.01  max_mem: 12882M
[11/15 16:45:18 d2.utils.events]:  eta: 3:02:01  iter: 799  total_loss: 0.2461  loss_cls: 0.06195  loss_box_reg: 0.1483  loss_rpn_cls: 0.008421  loss_rpn_loc: 0.0157  contrastive_loss: 0.01778  time: 0.7806  data_time: 0.0388  lr: 0.01  max_mem: 12882M
[11/15 16:45:33 d2.utils.events]:  eta: 3:01:45  iter: 819  total_loss: 0.3262  loss_cls: 0.08568  loss_box_reg: 0.1753  loss_rpn_cls: 0.008038  loss_rpn_loc: 0.01792  contrastive_loss: 0.02756  time: 0.7807  data_time: 0.0443  lr: 0.01  max_mem: 12882M
[11/15 16:45:49 d2.utils.events]:  eta: 3:01:38  iter: 839  total_loss: 0.3391  loss_cls: 0.07347  loss_box_reg: 0.1595  loss_rpn_cls: 0.01066  loss_rpn_loc: 0.02002  contrastive_loss: 0.06638  time: 0.7807  data_time: 0.0401  lr: 0.01  max_mem: 12882M
[11/15 16:46:04 d2.utils.events]:  eta: 3:01:18  iter: 859  total_loss: 0.3263  loss_cls: 0.07489  loss_box_reg: 0.1921  loss_rpn_cls: 0.01016  loss_rpn_loc: 0.01774  contrastive_loss: 0.0353  time: 0.7805  data_time: 0.0426  lr: 0.01  max_mem: 12882M
[11/15 16:46:21 d2.utils.events]:  eta: 3:01:11  iter: 879  total_loss: 0.3243  loss_cls: 0.07858  loss_box_reg: 0.1854  loss_rpn_cls: 0.00929  loss_rpn_loc: 0.02086  contrastive_loss: 0.02631  time: 0.7812  data_time: 0.0434  lr: 0.01  max_mem: 12882M
[11/15 16:46:36 d2.utils.events]:  eta: 3:00:57  iter: 899  total_loss: 0.3041  loss_cls: 0.06682  loss_box_reg: 0.1773  loss_rpn_cls: 0.01085  loss_rpn_loc: 0.01508  contrastive_loss: 0.02382  time: 0.7810  data_time: 0.0372  lr: 0.01  max_mem: 12882M
[11/15 16:46:52 d2.utils.events]:  eta: 3:00:46  iter: 919  total_loss: 0.2806  loss_cls: 0.07075  loss_box_reg: 0.1576  loss_rpn_cls: 0.008952  loss_rpn_loc: 0.01779  contrastive_loss: 0.02619  time: 0.7815  data_time: 0.0376  lr: 0.01  max_mem: 12882M
[11/15 16:47:08 d2.utils.events]:  eta: 3:00:44  iter: 939  total_loss: 0.2927  loss_cls: 0.07062  loss_box_reg: 0.1665  loss_rpn_cls: 0.009191  loss_rpn_loc: 0.01844  contrastive_loss: 0.03589  time: 0.7820  data_time: 0.0402  lr: 0.01  max_mem: 12882M
[11/15 16:47:24 d2.utils.events]:  eta: 3:00:15  iter: 959  total_loss: 0.2908  loss_cls: 0.07229  loss_box_reg: 0.1754  loss_rpn_cls: 0.007259  loss_rpn_loc: 0.01823  contrastive_loss: 0.01834  time: 0.7815  data_time: 0.0401  lr: 0.01  max_mem: 12882M
[11/15 16:47:40 d2.utils.events]:  eta: 3:00:14  iter: 979  total_loss: 0.275  loss_cls: 0.0662  loss_box_reg: 0.1626  loss_rpn_cls: 0.006907  loss_rpn_loc: 0.0157  contrastive_loss: 0.01783  time: 0.7822  data_time: 0.0402  lr: 0.01  max_mem: 12882M
[11/15 16:47:56 d2.utils.events]:  eta: 3:00:02  iter: 999  total_loss: 0.2952  loss_cls: 0.06897  loss_box_reg: 0.1758  loss_rpn_cls: 0.006637  loss_rpn_loc: 0.01955  contrastive_loss: 0.01533  time: 0.7825  data_time: 0.0400  lr: 0.01  max_mem: 12882M
[11/15 16:48:12 d2.utils.events]:  eta: 2:59:54  iter: 1019  total_loss: 0.3417  loss_cls: 0.0673  loss_box_reg: 0.1647  loss_rpn_cls: 0.008399  loss_rpn_loc: 0.01383  contrastive_loss: 0.0795  time: 0.7835  data_time: 0.0374  lr: 0.01  max_mem: 12882M
[11/15 16:48:28 d2.utils.events]:  eta: 2:59:44  iter: 1039  total_loss: 0.3056  loss_cls: 0.06375  loss_box_reg: 0.1643  loss_rpn_cls: 0.008116  loss_rpn_loc: 0.0137  contrastive_loss: 0.03867  time: 0.7832  data_time: 0.0344  lr: 0.01  max_mem: 12919M
[11/15 16:48:43 d2.utils.events]:  eta: 2:59:50  iter: 1059  total_loss: 0.3155  loss_cls: 0.0686  loss_box_reg: 0.1781  loss_rpn_cls: 0.008243  loss_rpn_loc: 0.0165  contrastive_loss: 0.03126  time: 0.7829  data_time: 0.0421  lr: 0.01  max_mem: 12922M
[11/15 16:48:59 d2.utils.events]:  eta: 3:00:02  iter: 1079  total_loss: 0.3008  loss_cls: 0.06459  loss_box_reg: 0.1736  loss_rpn_cls: 0.009304  loss_rpn_loc: 0.01605  contrastive_loss: 0.03431  time: 0.7832  data_time: 0.0467  lr: 0.01  max_mem: 12922M
[11/15 16:49:15 d2.utils.events]:  eta: 2:59:23  iter: 1099  total_loss: 0.2981  loss_cls: 0.06878  loss_box_reg: 0.1867  loss_rpn_cls: 0.007764  loss_rpn_loc: 0.01655  contrastive_loss: 0.02528  time: 0.7831  data_time: 0.0408  lr: 0.01  max_mem: 12922M
[11/15 16:49:30 d2.utils.events]:  eta: 2:59:02  iter: 1119  total_loss: 0.2742  loss_cls: 0.06329  loss_box_reg: 0.1547  loss_rpn_cls: 0.007092  loss_rpn_loc: 0.01489  contrastive_loss: 0.02192  time: 0.7831  data_time: 0.0396  lr: 0.01  max_mem: 12922M
