nohup: ignoring input
Command Line Args: Namespace(config_file='configs/PascalVOC-detection/split2/faster_rcnn_R_101_FPN_ETF_distill2_10shot.yaml', dist_url='tcp://127.0.0.1:49152', end_iter=-1, eval_all=False, eval_during_train=False, eval_iter=-1, eval_only=False, machine_rank=0, num_gpus=2, num_machines=1, opts=None, resume=False, start_iter=-1)
Logging modification for finetuning
[11/18 15:13:29 detectron2]: Rank of current process: 0. World size: 2
[11/18 15:13:29 detectron2]: Command line arguments: Namespace(config_file='configs/PascalVOC-detection/split2/faster_rcnn_R_101_FPN_ETF_distill2_10shot.yaml', dist_url='tcp://127.0.0.1:49152', end_iter=-1, eval_all=False, eval_during_train=False, eval_iter=-1, eval_only=False, machine_rank=0, num_gpus=2, num_machines=1, opts=None, resume=False, start_iter=-1)
[11/18 15:13:29 detectron2]: Contents of args.config_file=configs/PascalVOC-detection/split2/faster_rcnn_R_101_FPN_ETF_distill2_10shot.yaml:
_BASE_: "faster_rcnn_R_101_FPN_ETF_pre2_10shot.yaml"


MODEL:
  META_ARCHITECTURE: "ContrastiveGeneralizedRCNN"  # 使用我们新定义的对比学习架构
  TEACHER_WEIGHT: "/root/autodl-tmp/checkpoints/voc/prior/ETFRes_pre2_10shot_lr20_adj1.0_rfs1.0_t1/model_final.pth"
  BACKBONE:
    FREEZE_AT: 3
  PROPOSAL_GENERATOR:
    FREEZE: True
  ROI_HEADS:
    NAME: "DistillMarginROIHeads"
  USE_CONTRASTIVE: True  # 启用对比学习
  CONTRASTIVE_WEIGHT: 0.001  # 对比损失的权重
  IS_DISTILL: True
LOSS:
  ADJUST_STAGE: 'distill'
SOLVER:
  BASE_LR: 0.01
# Using 0.04 is slightly better than 0.02
OUTPUT_DIR: "/root/autodl-tmp/checkpoints/voc/distill/t1"
TRAIN:
  CACHE_UPDATE_INTERVAL: 1000



[11/18 15:13:29 detectron2]: Full config saved to /root/autodl-tmp/ETFRes_distill2_10shot_lr10_t1/config.yaml
preset seed 0
/root/autodl-tmp/checkpoints/voc/prior/ETFRes_pre2_10shot_lr20_adj1.0_rfs1.0_t1/model_clean_student.pth
[11/18 15:13:30 fsdet.modeling.roi_heads.fast_rcnn]: ETF Residusl True
[11/18 15:13:30 fsdet.modeling.roi_heads.fast_rcnn]: ETF Residusl True
froze proposal generator parameters
Frozen backbone bottom_up layers up to layer 3
Logging names for 5 novel classes:  ['aeroplane', 'bottle', 'cow', 'horse', 'sofa']
[11/18 15:13:31 d2.data.build]: Removed 1772 images with no usable annotations. 14829 images left.
[11/18 15:13:32 d2.data.build]: Distribution of instances among all 20 categories:
|  category  | #instances   |  category   | #instances   |  category   | #instances   |
|:----------:|:-------------|:-----------:|:-------------|:-----------:|:-------------|
|  bicycle   | 1208         |    bird     | 1820         |    boat     | 1397         |
|    bus     | 909          |     car     | 4008         |     cat     | 1616         |
|   chair    | 4338         | diningtable | 1057         |     dog     | 2079         |
| motorbike  | 1141         |   person    | 15576        | pottedplant | 1724         |
|   sheep    | 1347         |    train    | 984          |  tvmonitor  | 1193         |
| aeroplane  | 10           |   bottle    | 10           |     cow     | 10           |
|   horse    | 10           |    sofa     | 10           |             |              |
|   total    | 40447        |             |              |             |              |
[11/18 15:13:32 d2.data.dataset_mapper]: [DatasetMapper] Augmentations used in training: [ResizeShortestEdge(short_edge_length=(480, 512, 544, 576, 608, 640, 672, 704, 736, 768, 800), max_size=1333, sample_style='choice'), RandomFlip()]
[11/18 15:13:32 d2.data.build]: Using training sampler RepeatFactorTrainingSampler
[11/18 15:13:32 d2.data.common]: Serializing 14829 elements to byte tensors and concatenating them all ...
[11/18 15:13:32 d2.data.common]: Serialized dataset takes 6.68 MiB
[11/18 15:13:32 fvcore.common.checkpoint]: [Checkpointer] Loading from /root/autodl-tmp/checkpoints/voc/prior/ETFRes_pre2_10shot_lr20_adj1.0_rfs1.0_t1/model_clean_student.pth ...
Logging modification for finetuning
preset seed 0
/root/autodl-tmp/checkpoints/voc/prior/ETFRes_pre2_10shot_lr20_adj1.0_rfs1.0_t1/model_clean_student.pth
froze proposal generator parameters
Frozen backbone bottom_up layers up to layer 3
Logging names for 5 novel classes:  ['aeroplane', 'bottle', 'cow', 'horse', 'sofa']
[11/18 15:13:33 d2.engine.train_loop]: Starting training from iteration 1
[W reducer.cpp:1158] Warning: find_unused_parameters=True was specified in DDP constructor, but did not find any unused parameters in the forward pass. This flag results in an extra traversal of the autograd graph every iteration,  which can adversely affect performance. If your model indeed never has any unused parameters in the forward pass, consider turning this flag off. Note that this warning may be a false positive if your model has flow control causing later iterations to have unused parameters. (function operator())
[W reducer.cpp:1158] Warning: find_unused_parameters=True was specified in DDP constructor, but did not find any unused parameters in the forward pass. This flag results in an extra traversal of the autograd graph every iteration,  which can adversely affect performance. If your model indeed never has any unused parameters in the forward pass, consider turning this flag off. Note that this warning may be a false positive if your model has flow control causing later iterations to have unused parameters. (function operator())
[11/18 15:14:07 d2.utils.events]:  eta: 4:06:39  iter: 19  total_loss: 1.813  loss_cls: 0.03206  loss_box_reg: 0.1238  loss_rpn_cls: 0.003377  loss_rpn_loc: 0.01382  contrastive_loss: 1.672  time: 0.7647  data_time: 0.4016  lr: 0.0009091  max_mem: 12989M
[11/18 15:18:27 d2.utils.events]:  eta: 4:08:24  iter: 359  total_loss: 0.2129  loss_cls: 0.03575  loss_box_reg: 0.1171  loss_rpn_cls: 0.006273  loss_rpn_loc: 0.01413  contrastive_loss: 0.02942  time: 0.7652  data_time: 0.0249  lr: 0.01  max_mem: 12990M
[11/18 15:18:43 d2.utils.events]:  eta: 4:08:20  iter: 379  total_loss: 0.2292  loss_cls: 0.03765  loss_box_reg: 0.1197  loss_rpn_cls: 0.004715  loss_rpn_loc: 0.01501  contrastive_loss: 0.03928  time: 0.7662  data_time: 0.0264  lr: 0.01  max_mem: 12990M
[11/18 15:18:58 d2.utils.events]:  eta: 4:08:21  iter: 399  total_loss: 0.2078  loss_cls: 0.03585  loss_box_reg: 0.1253  loss_rpn_cls: 0.004287  loss_rpn_loc: 0.01203  contrastive_loss: 0.03342  time: 0.7653  data_time: 0.0275  lr: 0.01  max_mem: 12990M
[11/18 15:19:14 d2.utils.events]:  eta: 4:08:06  iter: 419  total_loss: 0.2573  loss_cls: 0.03808  loss_box_reg: 0.1327  loss_rpn_cls: 0.007384  loss_rpn_loc: 0.01589  contrastive_loss: 0.04432  time: 0.7668  data_time: 0.0281  lr: 0.01  max_mem: 12990M
[11/18 15:19:28 d2.utils.events]:  eta: 4:07:24  iter: 439  total_loss: 0.254  loss_cls: 0.04158  loss_box_reg: 0.1369  loss_rpn_cls: 0.004155  loss_rpn_loc: 0.01408  contrastive_loss: 0.05617  time: 0.7649  data_time: 0.0259  lr: 0.01  max_mem: 12992M
[11/18 15:19:43 d2.utils.events]:  eta: 4:07:09  iter: 459  total_loss: 0.2237  loss_cls: 0.03642  loss_box_reg: 0.12  loss_rpn_cls: 0.005069  loss_rpn_loc: 0.01504  contrastive_loss: 0.04885  time: 0.7648  data_time: 0.0274  lr: 0.01  max_mem: 12992M
[11/18 15:19:59 d2.utils.events]:  eta: 4:06:53  iter: 479  total_loss: 0.2556  loss_cls: 0.04029  loss_box_reg: 0.1376  loss_rpn_cls: 0.009236  loss_rpn_loc: 0.01573  contrastive_loss: 0.04305  time: 0.7645  data_time: 0.0253  lr: 0.01  max_mem: 12992M
[11/18 15:20:14 d2.utils.events]:  eta: 4:06:35  iter: 499  total_loss: 0.2271  loss_cls: 0.038  loss_box_reg: 0.1316  loss_rpn_cls: 0.00487  loss_rpn_loc: 0.01651  contrastive_loss: 0.03589  time: 0.7641  data_time: 0.0269  lr: 0.01  max_mem: 12992M
[11/18 15:20:29 d2.utils.events]:  eta: 4:06:12  iter: 519  total_loss: 0.2046  loss_cls: 0.03785  loss_box_reg: 0.124  loss_rpn_cls: 0.005064  loss_rpn_loc: 0.01397  contrastive_loss: 0.0235  time: 0.7639  data_time: 0.0298  lr: 0.01  max_mem: 12992M
[11/18 15:20:45 d2.utils.events]:  eta: 4:06:14  iter: 539  total_loss: 0.2041  loss_cls: 0.03468  loss_box_reg: 0.1195  loss_rpn_cls: 0.004709  loss_rpn_loc: 0.01485  contrastive_loss: 0.0248  time: 0.7654  data_time: 0.0296  lr: 0.01  max_mem: 12992M
[11/18 15:21:00 d2.utils.events]:  eta: 4:05:33  iter: 559  total_loss: 0.2027  loss_cls: 0.03668  loss_box_reg: 0.125  loss_rpn_cls: 0.004763  loss_rpn_loc: 0.01268  contrastive_loss: 0.01846  time: 0.7654  data_time: 0.0252  lr: 0.01  max_mem: 12992M
[11/18 15:21:15 d2.utils.events]:  eta: 4:05:06  iter: 579  total_loss: 0.2209  loss_cls: 0.04084  loss_box_reg: 0.125  loss_rpn_cls: 0.006427  loss_rpn_loc: 0.0148  contrastive_loss: 0.02389  time: 0.7643  data_time: 0.0286  lr: 0.01  max_mem: 12992M
[11/18 15:21:30 d2.utils.events]:  eta: 4:04:23  iter: 599  total_loss: 0.1977  loss_cls: 0.03494  loss_box_reg: 0.1209  loss_rpn_cls: 0.004351  loss_rpn_loc: 0.01493  contrastive_loss: 0.02055  time: 0.7633  data_time: 0.0265  lr: 0.01  max_mem: 12992M
[11/18 15:21:45 d2.utils.events]:  eta: 4:04:06  iter: 619  total_loss: 0.1774  loss_cls: 0.03254  loss_box_reg: 0.1058  loss_rpn_cls: 0.004987  loss_rpn_loc: 0.01516  contrastive_loss: 0.01993  time: 0.7625  data_time: 0.0281  lr: 0.01  max_mem: 12992M
[11/18 15:21:59 d2.utils.events]:  eta: 4:03:48  iter: 639  total_loss: 0.1682  loss_cls: 0.03525  loss_box_reg: 0.098  loss_rpn_cls: 0.004236  loss_rpn_loc: 0.01452  contrastive_loss: 0.02006  time: 0.7619  data_time: 0.0298  lr: 0.01  max_mem: 12992M
[11/18 15:22:14 d2.utils.events]:  eta: 4:03:18  iter: 659  total_loss: 0.2012  loss_cls: 0.0394  loss_box_reg: 0.1214  loss_rpn_cls: 0.004401  loss_rpn_loc: 0.01537  contrastive_loss: 0.02495  time: 0.7610  data_time: 0.0320  lr: 0.01  max_mem: 12992M
[11/18 15:22:29 d2.utils.events]:  eta: 4:03:06  iter: 679  total_loss: 0.2001  loss_cls: 0.03382  loss_box_reg: 0.1193  loss_rpn_cls: 0.004395  loss_rpn_loc: 0.01297  contrastive_loss: 0.02269  time: 0.7607  data_time: 0.0277  lr: 0.01  max_mem: 12992M
[11/18 15:22:45 d2.utils.events]:  eta: 4:02:51  iter: 699  total_loss: 0.2054  loss_cls: 0.03927  loss_box_reg: 0.1272  loss_rpn_cls: 0.003979  loss_rpn_loc: 0.01288  contrastive_loss: 0.01871  time: 0.7614  data_time: 0.0326  lr: 0.01  max_mem: 12992M
[11/18 15:23:00 d2.utils.events]:  eta: 4:02:36  iter: 719  total_loss: 0.2166  loss_cls: 0.03635  loss_box_reg: 0.134  loss_rpn_cls: 0.004675  loss_rpn_loc: 0.01401  contrastive_loss: 0.01616  time: 0.7611  data_time: 0.0307  lr: 0.01  max_mem: 12992M
[11/18 15:23:14 d2.utils.events]:  eta: 4:02:08  iter: 739  total_loss: 0.1949  loss_cls: 0.03504  loss_box_reg: 0.1109  loss_rpn_cls: 0.005411  loss_rpn_loc: 0.01377  contrastive_loss: 0.02803  time: 0.7602  data_time: 0.0305  lr: 0.01  max_mem: 12992M
[11/18 15:23:29 d2.utils.events]:  eta: 4:01:46  iter: 759  total_loss: 0.208  loss_cls: 0.03817  loss_box_reg: 0.1263  loss_rpn_cls: 0.00377  loss_rpn_loc: 0.01384  contrastive_loss: 0.02067  time: 0.7591  data_time: 0.0291  lr: 0.01  max_mem: 12992M
[11/18 15:23:44 d2.utils.events]:  eta: 4:01:33  iter: 779  total_loss: 0.1878  loss_cls: 0.03332  loss_box_reg: 0.1147  loss_rpn_cls: 0.004579  loss_rpn_loc: 0.01257  contrastive_loss: 0.01513  time: 0.7595  data_time: 0.0262  lr: 0.01  max_mem: 12992M
[11/18 15:24:00 d2.utils.events]:  eta: 4:01:20  iter: 799  total_loss: 0.1991  loss_cls: 0.03335  loss_box_reg: 0.1141  loss_rpn_cls: 0.004543  loss_rpn_loc: 0.01539  contrastive_loss: 0.0172  time: 0.7596  data_time: 0.0261  lr: 0.01  max_mem: 12992M
[11/18 15:24:14 d2.utils.events]:  eta: 4:01:01  iter: 819  total_loss: 0.1825  loss_cls: 0.03315  loss_box_reg: 0.1192  loss_rpn_cls: 0.004451  loss_rpn_loc: 0.01317  contrastive_loss: 0.01358  time: 0.7591  data_time: 0.0239  lr: 0.01  max_mem: 12992M
[11/18 15:24:30 d2.utils.events]:  eta: 4:00:52  iter: 839  total_loss: 0.2015  loss_cls: 0.03947  loss_box_reg: 0.1288  loss_rpn_cls: 0.00602  loss_rpn_loc: 0.01756  contrastive_loss: 0.01623  time: 0.7593  data_time: 0.0278  lr: 0.01  max_mem: 12992M
[11/18 15:24:45 d2.utils.events]:  eta: 4:00:35  iter: 859  total_loss: 0.1916  loss_cls: 0.03547  loss_box_reg: 0.126  loss_rpn_cls: 0.004509  loss_rpn_loc: 0.01369  contrastive_loss: 0.01207  time: 0.7591  data_time: 0.0279  lr: 0.01  max_mem: 12992M
[11/18 15:25:01 d2.utils.events]:  eta: 4:00:23  iter: 879  total_loss: 0.1862  loss_cls: 0.03348  loss_box_reg: 0.1076  loss_rpn_cls: 0.004855  loss_rpn_loc: 0.01583  contrastive_loss: 0.01483  time: 0.7605  data_time: 0.0300  lr: 0.01  max_mem: 12992M
[11/18 15:25:16 d2.utils.events]:  eta: 4:00:08  iter: 899  total_loss: 0.2061  loss_cls: 0.03856  loss_box_reg: 0.1313  loss_rpn_cls: 0.004399  loss_rpn_loc: 0.01576  contrastive_loss: 0.01357  time: 0.7601  data_time: 0.0296  lr: 0.01  max_mem: 12992M
[11/18 15:25:31 d2.utils.events]:  eta: 3:59:46  iter: 919  total_loss: 0.2285  loss_cls: 0.04042  loss_box_reg: 0.1333  loss_rpn_cls: 0.004534  loss_rpn_loc: 0.01735  contrastive_loss: 0.0123  time: 0.7594  data_time: 0.0289  lr: 0.01  max_mem: 12992M
[11/18 15:25:46 d2.utils.events]:  eta: 3:59:35  iter: 939  total_loss: 0.1977  loss_cls: 0.03546  loss_box_reg: 0.1153  loss_rpn_cls: 0.00473  loss_rpn_loc: 0.01959  contrastive_loss: 0.01441  time: 0.7597  data_time: 0.0282  lr: 0.01  max_mem: 12992M
[11/18 15:26:01 d2.utils.events]:  eta: 3:59:20  iter: 959  total_loss: 0.2148  loss_cls: 0.03743  loss_box_reg: 0.1317  loss_rpn_cls: 0.004197  loss_rpn_loc: 0.01473  contrastive_loss: 0.01564  time: 0.7592  data_time: 0.0288  lr: 0.01  max_mem: 12992M
[11/18 15:26:15 d2.utils.events]:  eta: 3:59:00  iter: 979  total_loss: 0.1861  loss_cls: 0.03161  loss_box_reg: 0.1084  loss_rpn_cls: 0.004328  loss_rpn_loc: 0.01756  contrastive_loss: 0.01455  time: 0.7588  data_time: 0.0282  lr: 0.01  max_mem: 12992M
[11/18 15:26:31 d2.utils.events]:  eta: 3:58:44  iter: 999  total_loss: 0.1978  loss_cls: 0.03762  loss_box_reg: 0.1208  loss_rpn_cls: 0.004737  loss_rpn_loc: 0.01538  contrastive_loss: 0.0128  time: 0.7589  data_time: 0.0263  lr: 0.01  max_mem: 12992M
[11/18 15:26:47 d2.utils.events]:  eta: 3:58:31  iter: 1019  total_loss: 0.2642  loss_cls: 0.03976  loss_box_reg: 0.1389  loss_rpn_cls: 0.005428  loss_rpn_loc: 0.01599  contrastive_loss: 0.06257  time: 0.7597  data_time: 0.0282  lr: 0.01  max_mem: 14438M
[11/18 15:27:03 d2.utils.events]:  eta: 3:58:15  iter: 1039  total_loss: 0.2332  loss_cls: 0.03656  loss_box_reg: 0.1228  loss_rpn_cls: 0.005144  loss_rpn_loc: 0.01868  contrastive_loss: 0.03949  time: 0.7603  data_time: 0.0258  lr: 0.01  max_mem: 14438M
[11/18 15:27:17 d2.utils.events]:  eta: 3:58:00  iter: 1059  total_loss: 0.2062  loss_cls: 0.03867  loss_box_reg: 0.1248  loss_rpn_cls: 0.006163  loss_rpn_loc: 0.01665  contrastive_loss: 0.02784  time: 0.7599  data_time: 0.0226  lr: 0.01  max_mem: 14438M
[11/18 15:27:32 d2.utils.events]:  eta: 3:57:40  iter: 1079  total_loss: 0.1938  loss_cls: 0.03541  loss_box_reg: 0.118  loss_rpn_cls: 0.004835  loss_rpn_loc: 0.01454  contrastive_loss: 0.02022  time: 0.7594  data_time: 0.0241  lr: 0.01  max_mem: 14438M
[11/18 15:27:47 d2.utils.events]:  eta: 3:57:21  iter: 1099  total_loss: 0.1969  loss_cls: 0.03852  loss_box_reg: 0.1228  loss_rpn_cls: 0.004909  loss_rpn_loc: 0.01583  contrastive_loss: 0.01665  time: 0.7589  data_time: 0.0254  lr: 0.01  max_mem: 14438M
[11/18 15:28:02 d2.utils.events]:  eta: 3:56:35  iter: 1119  total_loss: 0.2073  loss_cls: 0.03808  loss_box_reg: 0.1272  loss_rpn_cls: 0.004781  loss_rpn_loc: 0.01353  contrastive_loss: 0.01899  time: 0.7587  data_time: 0.0261  lr: 0.01  max_mem: 14438M
